City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
24,Mataura,NZ,-46.1927,168.8643,63.48,31,10,5.79,clear sky
25,Taonan,CN,45.3333,122.7833,16.65,71,2,13.85,clear sky
26,Bengkulu,ID,-3.8004,102.2655,81.97,69,70,1.21,broken clouds
27,Kayes,ML,14.0,-11.0,77.22,11,35,4.5,scattered clouds
28,Urucara,BR,-2.5364,-57.76,75.47,97,100,1.66,overcast clouds
29,Coihaique,CL,-45.5752,-72.0662,50.61,76,0,3.44,clear sky
30,Lebu,CL,-37.6167,-73.65,51.57,85,34,7.74,scattered clouds
31,Ilulissat,GL,69.2167,-51.1,19.42,63,40,10.36,scattered clouds
32,Neiafu,TO,-18.65,-173.9833,81.28,83,40,4.61,scattered clouds
33,Kapaa,US,22.0752,-159.319,80.58,73,40,5.01,light rain
34,Arraial Do Cabo,BR,-22.9661,-42.0278,75.15,96,100,10.47,overcast clouds
35,Naze,JP,28.3667,129.4833,59.92,67,92,16.26,light rain
36,Karratha,AU,-20.7377,116.8463,98.78,17,0,3.29,clear sky
37,Codrington,AU,-38.2667,141.9667,80.13,37,94,19.28,overcast clouds
38,Letlhakane,BW,-21.4167,25.5833,72.77,54,100,6.17,overcast clouds
39,Puerto Ayora,EC,-0.7393,-90.3518,68.56,96,95,1.01,overcast clouds
40,Rikitea,PF,-23.1203,-134.9692,77.99,75,80,7.14,light rain
41,Cherdyn,RU,60.403,56.4787,-0.53,98,100,3.56,overcast clouds
42,Iacu,BR,-12.7672,-40.2117,71.08,91,100,4.5,overcast clouds
43,Boqueirao,BR,-7.5,-36.1333,74.75,84,38,12.82,scattered clouds
44,Gat,IL,31.61,34.7642,69.91,36,100,4.41,overcast clouds
45,Lata,PT,40.1629,-8.3327,56.91,83,8,4.41,clear sky
46,Nanortalik,GL,60.1432,-45.2371,24.13,78,100,9.84,overcast clouds
47,Mar Del Plata,AR,-38.0023,-57.5575,64.42,79,0,5.99,clear sky
48,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,56,100,14.74,overcast clouds
